"name","assignment","length","begin","end","species","species.score","type","type.support","subtype","subtype.support"
"Indonesia|Jambi|OL960217|D2/IDN_Jambi_024/2016|Dengue_2|E|External|2016-07-22|2016.55342465753","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Indonesia|Jambi|OL960218|D2/IDN_Jambi_021/2016|Dengue_2|E|External|2016-06-30|2016.49315068493","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Indonesia|Aceh|OL960219|D2/IDN_Aceh_046/2015|Dengue_2|E|External|2015-06-16|2015.45479452055","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Indonesia|Aceh|OL960220|D2/IDN_Aceh_036/2015|Dengue_2|E|External|2015-08-19|2015.6301369863","2II",1456,937,2392,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Indonesia|Aceh|OL960221|D2/IDN_Aceh_017/2015|Dengue_2|E|External|2015-09-14|2015.70136986301","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"Laos|NA|MN628232|2012_0237|Dengue_2|E|External|2012-06-15|2012.45205479452","2V",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Laos|NA|MN628233|2010_2724|Dengue_2|E|External|2010-06-15|2010.45205479452","2V",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Laos|NA|MN628234|2012_0254|Dengue_2|E|External|2012-06-15|2012.45205479452","2V",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Laos|NA|MN628235|2012_0423|Dengue_2|E|External|2012-06-15|2012.45205479452","2V",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Laos|NA|MN628236|2012_0388|Dengue_2|E|External|2012-06-15|2012.45205479452","2V",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Laos|NA|MN628237|2012_0181|Dengue_2|E|External|2012-06-15|2012.45205479452","2V",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Laos|NA|MN628238|2012_0425|Dengue_2|E|External|2012-06-15|2012.45205479452","2V",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Laos|NA|MN628239|2012_0449|Dengue_2|E|External|2012-06-15|2012.45205479452","2V",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Laos|NA|MN628240|2012_0404|Dengue_2|E|External|2012-06-15|2012.45205479452","2V",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Laos|NA|MN628241|2012_0468|Dengue_2|E|External|2012-06-15|2012.45205479452","2V",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Laos|NA|MN628242|2010_2723|Dengue_2|E|External|2010-06-15|2010.45205479452","2V",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Laos|NA|MN628243|2010_3023|Dengue_2|E|External|2010-06-15|2010.45205479452","2V",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Laos|NA|MN628244|2010_3024|Dengue_2|E|External|2010-06-15|2010.45205479452","2V",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Laos|NA|MN628245|2010_2498|Dengue_2|E|External|2010-06-15|2010.45205479452","2V",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Laos|NA|MN628246|2010_2500|Dengue_2|E|External|2010-06-15|2010.45205479452","2V",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Laos|NA|MN628247|2012_0265|Dengue_2|E|External|2012-06-15|2012.45205479452","2V",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Laos|NA|MN628248|2012_0309|Dengue_2|E|External|2012-06-15|2012.45205479452","2V",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Laos|NA|MN628249|2010_1947|Dengue_2|E|External|2010-06-15|2010.45205479452","2V",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Laos|NA|MN628250|2010_2108|Dengue_2|E|External|2010-06-15|2010.45205479452","2V",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Laos|NA|MN628251|2010_2340|Dengue_2|E|External|2010-06-15|2010.45205479452","2V",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"Laos|NA|MN628252|2012_0136|Dengue_2|E|External|2012-06-15|2012.45205479452","2V",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype V - Asian I",100,NA,NA
"China|NA|OP678009|D2/19YS00077/Shenzhen/2019|Dengue_2|E|External|2019-07-04|2019.50410958904","2II",1485,937,2421,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"China|NA|OP684143|DENV-2/CN/HZ17-1003/2017|Dengue_2|WG|External|2017-09-12|2017.69589041096","2II",10176,97,10272,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"China|NA|OP684144|DENV-2/CN/HZ17-1312/2017|Dengue_2|WG|External|2017-09-18|2017.71232876712","2II",10176,97,10272,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"China|NA|OP684145|DENV-2/CN/HZ17-1358/2017|Dengue_2|WG|External|2017-09-20|2017.71780821918","2II",10176,97,10272,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"China|NA|OP684146|DENV-2/CN/HZ17-1431/2017|Dengue_2|WG|External|2017-09-23|2017.72602739726","2II",10176,97,10272,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"China|NA|OP684147|DENV-2/CN/HZ17-1450/2017|Dengue_2|WG|External|2017-09-19|2017.71506849315","2II",10176,97,10272,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"China|NA|OP684148|DENV-2/CN/HZ17-1469/2017|Dengue_2|WG|External|2017-09-21|2017.72054794521","2II",10176,97,10272,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"China|NA|OP684149|DENV-2/CN/HZ17-1535/2017|Dengue_2|WG|External|2017-09-26|2017.73424657534","2II",10176,97,10272,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"China|NA|OP684150|DENV-2/CN/HZ17-1536/2017|Dengue_2|WG|External|2017-09-27|2017.73698630137","2II",10176,97,10272,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"China|NA|OP684151|DENV-2/CN/HZ17-1560/2017|Dengue_2|WG|External|2017-09-26|2017.73424657534","2II",10176,97,10272,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"China|NA|OP684152|DENV-2/CN/HZ17-17/2017|Dengue_2|WG|External|2017-07-02|2017.49863013699","2II",10176,97,10272,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"China|NA|OP684153|DENV-2/CN/HZ17-244/2017|Dengue_2|WG|External|2017-08-29|2017.65753424658","2II",10176,97,10272,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"China|NA|OP684154|DENV-2/CN/HZ17-263/2017|Dengue_2|WG|External|2017-08-28|2017.65479452055","Unassigned",10176,97,10272,"Dengue virus type 2",NA,"Related to but not part of DENV-2 Genotype II - Cosmopolitan",NA,NA,NA
"China|NA|OP684155|DENV-2/CN/HZ17-265/2017|Dengue_2|WG|External|2017-08-28|2017.65479452055","2II",10176,97,10272,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
"China|NA|OP684156|DENV-2/CN/HZ17-30/2017|Dengue_2|WG|External|2017-08-22|2017.63835616438","2II",10176,97,10272,"Dengue virus type 2",NA,"DENV-2 Genotype II - Cosmopolitan",100,NA,NA
